sku_id,origin,date,actual,prediction,method
SKU-1000,2026-05-13,2026-05-14,150.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-15,111.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-16,90.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-17,127.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-18,130.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-19,89.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-20,96.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-21,111.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-22,94.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-23,88.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-24,168.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-25,115.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-26,136.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-27,122.0,108.5,mean28
SKU-1000,2026-05-13,2026-05-14,150.0,102.0,seasonal7
SKU-1000,2026-05-13,2026-05-15,111.0,62.0,seasonal7
SKU-1000,2026-05-13,2026-05-16,90.0,86.0,seasonal7
SKU-1000,2026-05-13,2026-05-17,127.0,93.0,seasonal7
SKU-1000,2026-05-13,2026-05-18,130.0,112.0,seasonal7
SKU-1000,2026-05-13,2026-05-19,89.0,142.0,seasonal7
SKU-1000,2026-05-13,2026-05-20,96.0,97.0,seasonal7
SKU-1000,2026-05-13,2026-05-21,111.0,102.0,seasonal7
SKU-1000,2026-05-13,2026-05-22,94.0,62.0,seasonal7
SKU-1000,2026-05-13,2026-05-23,88.0,86.0,seasonal7
SKU-1000,2026-05-13,2026-05-24,168.0,93.0,seasonal7
SKU-1000,2026-05-13,2026-05-25,115.0,112.0,seasonal7
SKU-1000,2026-05-13,2026-05-26,136.0,142.0,seasonal7
SKU-1000,2026-05-13,2026-05-27,122.0,97.0,seasonal7
SKU-1000,2026-05-13,2026-05-14,150.0,110.0445130677111,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-15,111.0,112.92106650598781,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-16,90.0,107.34774421932664,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-17,127.0,106.35892897491904,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-18,130.0,112.56149732620322,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-19,89.0,111.25969345484674,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-20,96.0,99.25743767417337,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-21,111.0,110.0445130677111,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-22,94.0,112.92106650598781,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-23,88.0,107.34774421932664,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-24,168.0,106.35892897491904,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-25,115.0,112.56149732620322,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-26,136.0,111.25969345484674,weekday_shrinkage
SKU-1000,2026-05-13,2026-05-27,122.0,99.25743767417337,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-14,441.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-15,411.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-16,359.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-17,441.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-18,425.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-19,499.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-20,451.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-21,477.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-22,446.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-23,446.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-24,425.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-25,404.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-26,459.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-27,454.0,416.92857142857144,mean28
SKU-1001,2026-05-13,2026-05-14,441.0,455.0,seasonal7
SKU-1001,2026-05-13,2026-05-15,411.0,435.0,seasonal7
SKU-1001,2026-05-13,2026-05-16,359.0,384.0,seasonal7
